Date,Ticker,Weight,Strategy
2022-01-03,AAPL,0.30000000000000004,optimized
2022-01-03,MSFT,0.10000000000000002,optimized
2022-01-03,GOOGL,0.12393696733144889,optimized
2022-01-03,AMZN,0.20133630591162838,optimized
2022-01-03,TSLA,0.2747267267569228,optimized
2022-03-31,AAPL,0.30000000000000004,optimized
2022-03-31,MSFT,0.10000000000000002,optimized
2022-03-31,GOOGL,0.16958332748563237,optimized
2022-03-31,AMZN,0.1304166725143676,optimized
2022-03-31,TSLA,0.3,optimized
2022-06-30,AAPL,0.2999999999999998,optimized
2022-06-30,MSFT,0.10000000000000003,optimized
2022-06-30,GOOGL,0.20000000000000007,optimized
2022-06-30,AMZN,0.10000000000000007,optimized
2022-06-30,TSLA,0.30000000000000004,optimized
2022-09-30,AAPL,0.3,optimized
2022-09-30,MSFT,0.10000000000000002,optimized
2022-09-30,GOOGL,0.16088000866492605,optimized
2022-09-30,AMZN,0.13911999133507408,optimized
2022-09-30,TSLA,0.3,optimized
2023-03-31,AAPL,0.3,optimized
2023-03-31,MSFT,0.10000000000000002,optimized
2023-03-31,GOOGL,0.12137363305762772,optimized
2023-03-31,AMZN,0.1786263669423724,optimized
2023-03-31,TSLA,0.3,optimized
2023-06-30,AAPL,0.30000000000000004,optimized
2023-06-30,MSFT,0.1,optimized
2023-06-30,GOOGL,0.1486224810843366,optimized
2023-06-30,AMZN,0.15313760809583582,optimized
2023-06-30,TSLA,0.2982399108198276,optimized
2024-09-30,AAPL,0.30000000000000004,optimized
2024-09-30,MSFT,0.10000000000000034,optimized
2024-09-30,GOOGL,0.16559253758256356,optimized
2024-09-30,AMZN,0.2999999999999998,optimized
2024-09-30,TSLA,0.13440746241743629,optimized
2024-12-31,AAPL,0.2999999999999999,optimized
2024-12-31,MSFT,0.1767904711557801,optimized
2024-12-31,GOOGL,0.21247973718990065,optimized
2024-12-31,AMZN,0.14681705925453784,optimized
2024-12-31,TSLA,0.16391273239978144,optimized
2022-01-03,AAPL,0.2,equal
2022-01-03,MSFT,0.2,equal
2022-01-03,GOOGL,0.2,equal
2022-01-03,AMZN,0.2,equal
2022-01-03,TSLA,0.2,equal
2022-03-31,AAPL,0.2,equal
2022-03-31,MSFT,0.2,equal
2022-03-31,GOOGL,0.2,equal
2022-03-31,AMZN,0.2,equal
2022-03-31,TSLA,0.2,equal
2022-06-30,AAPL,0.2,equal
2022-06-30,MSFT,0.2,equal
2022-06-30,GOOGL,0.2,equal
2022-06-30,AMZN,0.2,equal
2022-06-30,TSLA,0.2,equal
2022-09-30,AAPL,0.2,equal
2022-09-30,MSFT,0.2,equal
2022-09-30,GOOGL,0.2,equal
2022-09-30,AMZN,0.2,equal
2022-09-30,TSLA,0.2,equal
2023-03-31,AAPL,0.2,equal
2023-03-31,MSFT,0.2,equal
2023-03-31,GOOGL,0.2,equal
2023-03-31,AMZN,0.2,equal
2023-03-31,TSLA,0.2,equal
2023-06-30,AAPL,0.2,equal
2023-06-30,MSFT,0.2,equal
2023-06-30,GOOGL,0.2,equal
2023-06-30,AMZN,0.2,equal
2023-06-30,TSLA,0.2,equal
2024-09-30,AAPL,0.2,equal
2024-09-30,MSFT,0.2,equal
2024-09-30,GOOGL,0.2,equal
2024-09-30,AMZN,0.2,equal
2024-09-30,TSLA,0.2,equal
2024-12-31,AAPL,0.2,equal
2024-12-31,MSFT,0.2,equal
2024-12-31,GOOGL,0.2,equal
2024-12-31,AMZN,0.2,equal
2024-12-31,TSLA,0.2,equal
2022-01-03,AAPL,0.06107817193915111,min_variance
2022-01-03,MSFT,0.4,min_variance
2022-01-03,GOOGL,0.38302122579776665,min_variance
2022-01-03,AMZN,0.15590060226308225,min_variance
2022-01-03,TSLA,0.0,min_variance
2022-03-31,AAPL,0.11136118849327076,min_variance
2022-03-31,MSFT,0.36899873935075556,min_variance
2022-03-31,GOOGL,0.3900573241316316,min_variance
2022-03-31,AMZN,0.1295827480243421,min_variance
2022-03-31,TSLA,1.2162398731600685e-17,min_variance
2022-06-30,AAPL,0.1204289661235046,min_variance
2022-06-30,MSFT,0.25941712225306746,min_variance
2022-06-30,GOOGL,0.4,min_variance
2022-06-30,AMZN,0.22015391162342798,min_variance
2022-06-30,TSLA,0.0,min_variance
2022-09-30,AAPL,0.15543407382237895,min_variance
2022-09-30,MSFT,0.20494617084816316,min_variance
2022-09-30,GOOGL,0.39680468780211514,min_variance
2022-09-30,AMZN,0.24281506752734272,min_variance
2022-09-30,TSLA,0.0,min_variance
2023-03-31,AAPL,0.3277264787430558,min_variance
2023-03-31,MSFT,0.014497234408427427,min_variance
2023-03-31,GOOGL,0.25777628684851667,min_variance
2023-03-31,AMZN,0.39999999999999997,min_variance
2023-03-31,TSLA,0.0,min_variance
2023-06-30,AAPL,0.33827228403102966,min_variance
2023-06-30,MSFT,8.172420137215493e-17,min_variance
2023-06-30,GOOGL,0.26172771596897026,min_variance
2023-06-30,AMZN,0.4,min_variance
2023-06-30,TSLA,1.0194788940341856e-17,min_variance
2024-09-30,AAPL,0.4,min_variance
2024-09-30,MSFT,0.0034541122798455743,min_variance
2024-09-30,GOOGL,0.19654588772015433,min_variance
2024-09-30,AMZN,0.4,min_variance
2024-09-30,TSLA,7.998087966333602e-18,min_variance
2024-12-31,AAPL,0.4,min_variance
2024-12-31,MSFT,0.0009120251014549975,min_variance
