Strategy,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown
Optimized (Max Sharpe),0.1549036442922901,0.31683868069027277,0.42578022354589284,-0.4965775737335816
Equal Weight,0.1644632983653491,0.29873576455214806,0.48358220041688793,-0.46423570852738005
Min Variance,0.1578330323303956,0.276482305243918,0.4985238827808408,-0.3886788760016917
Risk Parity,0.15862433003830773,0.2822249052116142,0.49118390148582475,-0.4305394986016534
S&P 500,0.08567823279846046,0.17490759136307799,0.3755024712570867,-0.2542509661923039
