Date,Strategy,Turnover,Transaction Cost
2022-01-03,optimized,1.0,0.001
2022-03-31,optimized,0.14183926679452147,0.00014183926679452147
2022-06-30,optimized,0.0608333450287355,6.08333450287355e-05
2022-09-30,optimized,0.07823998267014826,7.823998267014826e-05
2023-03-31,optimized,0.07901275121459667,7.901275121459667e-05
2023-06-30,optimized,0.054497696053417935,5.449769605341794e-05
2024-09-30,optimized,0.3276648968047826,0.00032766489680478264
2024-12-31,optimized,0.30636588149092414,0.00030636588149092416
2022-01-03,equal,1.0,0.001
2022-03-31,equal,0.0,0.0
2022-06-30,equal,0.0,0.0
2022-09-30,equal,0.0,0.0
2023-03-31,equal,0.0,0.0
2023-06-30,equal,0.0,0.0
2024-09-30,equal,0.0,0.0
2024-12-31,equal,0.0,0.0
2022-01-03,min_variance,1.0,0.001
2022-03-31,min_variance,0.1146382297759692,0.0001146382297759692
2022-06-30,min_variance,0.21916323419537626,0.00021916323419537626
2022-09-30,min_variance,0.11533252720557827,0.00011533252720557827
2023-03-31,min_variance,0.6589546747866684,0.0006589546747866684
2023-06-30,min_variance,0.02899446881685484,2.899446881685484e-05
2024-09-30,min_variance,0.1303636564976318,0.0001303636564976318
2024-12-31,min_variance,0.005084174356781246,5.0841743567812465e-06
2022-01-03,risk_parity,1.0,0.001
2022-03-31,risk_parity,0.015112934680087772,1.5112934680087773e-05
2022-06-30,risk_parity,0.024167407427602178,2.416740742760218e-05
2022-09-30,risk_parity,0.012575714289551718,1.2575714289551719e-05
2023-03-31,risk_parity,0.054680766784984514,5.468076678498452e-05
2023-06-30,risk_parity,0.009395322723970298,9.395322723970298e-06
2024-09-30,risk_parity,0.04523872110869466,4.523872110869466e-05
2024-12-31,risk_parity,0.012229880452492917,1.2229880452492917e-05
